species,compound_name,compound_name_clean,compound_id,source_database,source_record_id,evidence_tier,matched_rank,occurrence_status,confidence,SMILES,InChIKey,CID,MolecularFormula,comparison_scope,comparison_group,comparison_subgroup,comparable_for_matrix,plant_part_group,tissue_group,method_group,citation_or_url,curation_flag
Salix nigra,salicin,salicin,cid_439503,LOTUS_SIM,LTS_SIM_0001,direct_species_database,species,reported,high,C1=CC=C(C=C1)COC2C(C(C(C(O2)CO)O)O)O,NGFMICBWJRZIBI-UHFFFAOYSA-N,439503,C13H18O7,specialized_metabolites,phenolic_phenylpropanoid,phenolic_glycosides,Yes,bark,phloem,LC-MS,https://example.test/simulated/lotus/salicin,simulated_fixture
Salix nigra,quercetin,quercetin,cid_5280343,PubMed_SIM,PMID_SIM_0001,direct_species_literature,species,reported,medium,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,C15H10O7,specialized_metabolites,phenolic_phenylpropanoid,flavonols,Yes,leaf,leaf,LC-MS,https://example.test/simulated/pubmed/quercetin,simulated_fixture
Zea mays,ferulic acid,ferulic acid,cid_445858,LOTUS_SIM,LTS_SIM_0002,direct_species_database,species,reported,high,COC1=C(C=CC(=C1)C=CC(=O)O)O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,445858,C10H10O4,specialized_metabolites,phenolic_phenylpropanoid,phenolic_acids,Yes,stem,vascular_tissue,LC-MS,https://example.test/simulated/lotus/ferulic-acid,simulated_fixture
Zea mays,glucose,glucose,cid_5793,PubChem_SIM,PC_SIM_0001,direct_species_database,species,reported,medium,C(C1C(C(C(C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-UHFFFAOYSA-N,5793,C6H12O6,primary_metabolites,carbohydrate,sugars,Yes,seed,endosperm,GC-MS,https://example.test/simulated/pubchem/glucose,simulated_fixture
Camellia sinensis,caffeine,caffeine,cid_2519,LOTUS_SIM,LTS_SIM_0003,direct_species_database,species,reported,high,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,2519,C8H10N4O2,specialized_metabolites,alkaloid_nitrogenous,purine_alkaloids,Yes,leaf,leaf,LC-MS,https://example.test/simulated/lotus/caffeine,simulated_fixture
Camellia sinensis,epigallocatechin gallate,epigallocatechin gallate,cid_65064,LOTUS_SIM,LTS_SIM_0004,direct_species_database,species,reported,high,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-UHFFFAOYSA-N,65064,C22H18O11,specialized_metabolites,phenolic_phenylpropanoid,flavanols,Yes,leaf,leaf,LC-MS,https://example.test/simulated/lotus/egcg,simulated_fixture
Mentha piperita,menthol,menthol,cid_1254,LOTUS_SIM,LTS_SIM_0005,direct_species_database,species,reported,high,CC1CCC(C(C1)O)C(C)C,NOOLISFMXDJSKH-UHFFFAOYSA-N,1254,C10H20O,volatile_specialized_metabolites,volatile_terpenoid,monoterpenoids,Yes,leaf,glandular_trichome,GC-MS,https://example.test/simulated/lotus/menthol,simulated_fixture
Mentha piperita,limonene,limonene,cid_22311,LOTUS_SIM,LTS_SIM_0006,direct_species_database,species,reported,high,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,22311,C10H16,volatile_specialized_metabolites,volatile_terpenoid,monoterpenoids,Yes,leaf,glandular_trichome,GC-MS,https://example.test/simulated/lotus/limonene,simulated_fixture
Brassica juncea,sinigrin,sinigrin,cid_23682211,LOTUS_SIM,LTS_SIM_0007,direct_species_database,species,reported,high,C=CCS(=O)(=O)N=C(S)OCC1C(C(C(C(O1)OS(=O)(=O)O)O)O)O,XTQHRLGUOYLDGD-UHFFFAOYSA-N,23682211,C10H16NO9S2,specialized_metabolites,glucosinolate,aliphatic_glucosinolates,Yes,seed,seed,LC-MS,https://example.test/simulated/lotus/sinigrin,simulated_fixture
Brassica juncea,lead complex,lead complex,,PubTator_SIM,PMID_SIM_0002,direct_species_pubtator_candidate,species,candidate,low,,,,,xenobiotic_or_contaminant,unknown,metal_context,No,root,root,literature_mining,https://example.test/simulated/pubtator/lead-complex,simulated_candidate_review_required
Salix nigra,willow extract,willow extract,,PubTator_SIM,PMID_SIM_0003,direct_species_pubtator_candidate,species,candidate,low,,,,,unknown,unknown,unclassified,No,bark,bark,literature_mining,https://example.test/simulated/pubtator/willow-extract,simulated_candidate_review_required
Zea mays,benzoxazinoid derivative,benzoxazinoid derivative,,KNApSAcK_SIM,KNA_SIM_0001,genus_database_fallback,genus,reported,medium,,,,,specialized_metabolites,benzoxazinoid,benzoxazinoid_derivatives,No,root,root,LC-MS,https://example.test/simulated/knapsack/benzoxazinoid,simulated_fallback_context
