Compound.Name,Exact.Mass,Primary.MZ,Feature.Family,Teaching.Interpretation,Caution
Geosmin,182.167065,112,taste_odor,Earthy odor candidate useful for source backed follow up,Simulated feature not a confirmed water sample identity
2-Methylisoborneol,168.151415,95,taste_odor,Musty odor candidate useful for source backed follow up,Simulated feature not a confirmed water sample identity
Atrazine,215.093773,200,agricultural_screening,Herbicide screening candidate useful for agricultural runoff exercises,Simulated feature not a confirmed water sample identity
Caffeine,194.080376,194,anthropogenic_marker,Wastewater or human activity marker candidate for teaching,Simulated feature not a confirmed water sample identity
Benzothiazole,135.014270,135,urban_runoff_marker,Urban runoff marker candidate for tire rubber or industrial context exercises,Simulated feature not a confirmed water sample identity
Phenol,94.041865,94,urban_organic_screening,Organic contaminant screening candidate for urban context exercises,Simulated feature not a confirmed water sample identity
Dimethyl trisulfide,125.963164,126,reduced_sulfur_organic_matter,Sulfur volatile candidate for marsh or aquaculture context exercises,Simulated feature not a confirmed water sample identity
Indole,117.057849,117,microbial_organic_matter,Microbial or organic matter candidate for teaching,Simulated feature not a confirmed water sample identity
"N,N-Diethyl-m-toluamide",191.131014,119,anthropogenic_marker,Human activity marker candidate for recreation or wastewater context exercises,Simulated feature not a confirmed water sample identity
Nonanal,142.135765,57,plant_organic_volatile,Plant or organic volatile background candidate for teaching,Simulated feature not a confirmed water sample identity
Octanal,128.120115,57,plant_organic_volatile,Plant or organic volatile background candidate for teaching,Simulated feature not a confirmed water sample identity
Limonene,136.125201,68,plant_organic_volatile,Plant associated volatile candidate for teaching,Simulated feature not a confirmed water sample identity
