Component.RT,Base.Peak.MZ,Base.Peak.Area,Component.Area,Compound.Name,Match.Factor,Sample.Name,File.Name,Simulated.Site,Simulated.Context,Simulation.Note
14.11,112,112500,125000,Geosmin,92,FreshwaterRef_20260601,FreshwaterRef_20260601.D,FreshwaterRef,freshwater_reference,Simulated teaching data only
13.39,95,84600,94000,2-Methylisoborneol,89,FreshwaterRef_20260601,FreshwaterRef_20260601.D,FreshwaterRef,freshwater_reference,Simulated teaching data only
9.16,57,18900,21000,Nonanal,84,FreshwaterRef_20260601,FreshwaterRef_20260601.D,FreshwaterRef,freshwater_reference,Simulated teaching data only
7.96,57,13950,15500,Octanal,82,FreshwaterRef_20260601,FreshwaterRef_20260601.D,FreshwaterRef,freshwater_reference,Simulated teaching data only
6.40,68,9000,10000,Limonene,80,FreshwaterRef_20260601,FreshwaterRef_20260601.D,FreshwaterRef,freshwater_reference,Simulated teaching data only
11.82,200,162000,180000,Atrazine,91,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
14.16,112,46800,52000,Geosmin,87,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
13.44,95,37800,42000,2-Methylisoborneol,85,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
5.19,94,19800,22000,Phenol,81,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
10.57,194,13500,15000,Caffeine,79,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
9.21,57,15300,17000,Nonanal,78,AgDrain_20260601,AgDrain_20260601.D,AgDrain,agricultural_drainage,Simulated teaching data only
10.62,194,198000,220000,Caffeine,94,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
10.69,194,34200,38000,Caffeine,86,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching duplicate for aggregation
8.91,135,144000,160000,Benzothiazole,92,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
5.22,94,85500,95000,Phenol,88,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
12.74,119,76500,85000,"N,N-Diethyl-m-toluamide",90,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
9.37,117,37800,42000,Indole,84,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
11.88,200,22500,25000,Atrazine,80,UrbanStorm_20260601,UrbanStorm_20260601.D,UrbanStorm,urban_stormwater,Simulated teaching data only
14.18,112,66600,74000,Geosmin,90,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
5.64,126,61200,68000,Dimethyl trisulfide,88,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
10.59,194,46800,52000,Caffeine,87,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
8.94,135,30600,34000,Benzothiazole,82,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
9.20,57,26100,29000,Nonanal,81,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
13.47,95,25200,28000,2-Methylisoborneol,80,TidalTransition_20260601,TidalTransition_20260601.D,TidalTransition,tidal_transition,Simulated teaching data only
5.61,126,171000,190000,Dimethyl trisulfide,93,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
9.34,117,68400,76000,Indole,89,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
9.17,57,58500,65000,Nonanal,86,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
8.02,57,34200,38000,Octanal,82,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
6.45,68,23400,26000,Limonene,80,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
5.23,94,10800,12000,Phenol,78,MarshEdge_20260601,MarshEdge_20260601.D,MarshEdge,marsh_edge,Simulated teaching data only
5.66,126,88200,98000,Dimethyl trisulfide,90,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
14.12,112,55800,62000,Geosmin,88,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
13.41,95,54000,60000,2-Methylisoborneol,87,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
9.36,117,38700,43000,Indole,83,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
8.00,57,23400,26000,Octanal,79,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
9.19,57,21600,24000,Nonanal,78,Aquaculture_20260601,Aquaculture_20260601.D,Aquaculture,aquaculture_context,Simulated teaching data only
