Compound.Name,Reason.For.Query
Geosmin,Taste and odor candidate in the simulated teaching dataset
2-Methylisoborneol,Taste and odor candidate in the simulated teaching dataset
Atrazine,Agricultural screening candidate in the simulated teaching dataset
Caffeine,Anthropogenic wastewater or recreation marker candidate in the simulated teaching dataset
Benzothiazole,Urban runoff marker candidate in the simulated teaching dataset
Phenol,Urban or industrial organic screening candidate in the simulated teaching dataset
Dimethyl trisulfide,Reduced sulfur or organic matter candidate in the simulated teaching dataset
Indole,Microbial or organic matter candidate in the simulated teaching dataset
"N,N-Diethyl-m-toluamide",Human activity marker candidate in the simulated teaching dataset
Nonanal,Plant or organic volatile background candidate in the simulated teaching dataset
Octanal,Plant or organic volatile background candidate in the simulated teaching dataset
Limonene,Plant associated volatile candidate in the simulated teaching dataset
