sample_id,site_id,sample_date,land_context,salinity_ppt,conductivity_ms_cm,temp_c,do_mg_l,ph,turbidity_ntu,nitrate_mg_l,orthophosphate_mg_l,chlorophyll_ug_l,high_salinity
S001,Inland_A,2026-06-01,freshwater_reference,0.4,0.78,21.4,8.7,7.3,5.2,0.42,0.035,6.1,0
S002,Inland_A,2026-06-08,freshwater_reference,0.5,0.86,22.1,8.3,7.4,6.0,0.39,0.031,6.8,0
S003,Inland_A,2026-06-15,freshwater_reference,0.6,0.94,23.8,7.9,7.2,7.1,0.45,0.040,8.2,0
S004,Inland_B,2026-06-01,agricultural_drainage,1.2,2.10,22.6,7.4,7.1,12.4,0.88,0.066,14.5,0
S005,Inland_B,2026-06-08,agricultural_drainage,1.4,2.38,24.0,6.9,7.0,15.8,0.95,0.072,17.9,0
S006,Inland_B,2026-06-15,agricultural_drainage,1.7,2.82,25.1,6.5,7.0,18.2,1.04,0.081,21.3,0
S007,Transition_C,2026-06-01,tidal_transition,3.1,5.20,22.9,7.2,7.5,10.1,0.51,0.044,10.7,1
S008,Transition_C,2026-06-08,tidal_transition,4.0,6.70,24.4,6.6,7.6,11.8,0.48,0.039,12.9,1
S009,Transition_C,2026-06-15,tidal_transition,4.8,8.05,25.8,6.1,7.7,13.5,0.46,0.037,15.4,1
S010,Marsh_D,2026-06-01,marsh_edge,6.2,10.30,23.5,6.8,7.8,8.4,0.33,0.028,9.9,1
S011,Marsh_D,2026-06-08,marsh_edge,7.1,11.80,25.0,6.2,7.9,9.2,0.31,0.026,11.2,1
S012,Marsh_D,2026-06-15,marsh_edge,8.4,13.90,26.2,5.7,8.0,10.5,0.29,0.024,13.0,1
S013,Urban_E,2026-06-01,urban_stormwater,2.4,4.05,23.1,6.9,7.2,22.5,0.76,0.090,18.6,0
S014,Urban_E,2026-06-08,urban_stormwater,2.9,4.86,24.8,6.3,7.1,31.2,0.82,0.110,24.1,0
S015,Urban_E,2026-06-15,urban_stormwater,3.6,6.02,26.0,5.9,7.0,28.7,0.79,0.101,22.7,1
S016,Aquaculture_F,2026-06-01,aquaculture_context,5.2,8.70,22.0,7.6,7.8,6.6,0.27,0.022,7.4,1
S017,Aquaculture_F,2026-06-08,aquaculture_context,5.8,9.60,23.7,7.0,7.9,7.3,0.25,0.020,8.1,1
S018,Aquaculture_F,2026-06-15,aquaculture_context,6.5,10.90,25.2,6.4,8.0,8.1,0.24,0.019,9.0,1
